Hospital Name,City,State,ZIP,Address,Service Name,Service Code,Department,Price (USD),Insurance Accepted,Average Wait Time (min),Hospital Rating
Hospital 1,City 1,State 1,13646,"891 Main St, City 1, State 1",MRI,70551,Radiology,19374,Medicare,44,3.6
Hospital 1,City 1,State 1,84161,"464 Main St, City 1, State 1",X-Ray,71020,Radiology,15514,Private,20,2.5
Hospital 1,City 1,State 1,55667,"652 Main St, City 1, State 1",Blood Test,85025,Laboratory,18602,Uninsured,37,4.5
Hospital 1,City 1,State 1,37594,"346 Main St, City 1, State 1",Appendectomy,44950,Surgery,9536,Uninsured,40,4.6
Hospital 1,City 1,State 1,89939,"881 Main St, City 1, State 1",CT Scan,71260,Radiology,12536,Medicare,9,3
Hospital 1,City 1,State 1,14964,"361 Main St, City 1, State 1",Physical Exam,99386,General,18554,Private,36,4
Hospital 1,City 1,State 1,26542,"974 Main St, City 1, State 1",Knee Replacement,27447,Orthopedics,17664,Private,17,3.4
Hospital 1,City 1,State 1,58684,"271 Main St, City 1, State 1",Cardiac Stress Test,93015,Cardiology,9170,Medicare,56,3.9
Hospital 1,City 1,State 1,72898,"523 Main St, City 1, State 1",Colonoscopy,45378,Gastroenterology,7165,Private,30,3.5
Hospital 1,City 1,State 1,49950,"981 Main St, City 1, State 1",Ultrasound,76801,Radiology,4776,Uninsured,59,2.8
Hospital 2,City 2,State 2,87816,"632 Main St, City 2, State 2",MRI,70551,Radiology,11117,Private,41,3.5
Hospital 2,City 2,State 2,25744,"616 Main St, City 2, State 2",X-Ray,71020,Radiology,17969,Private,52,4.2
Hospital 2,City 2,State 2,37250,"138 Main St, City 2, State 2",Blood Test,85025,Laboratory,17847,Private,19,3.7
Hospital 2,City 2,State 2,95471,"471 Main St, City 2, State 2",Appendectomy,44950,Surgery,12818,Private,21,2.9
Hospital 2,City 2,State 2,43744,"350 Main St, City 2, State 2",CT Scan,71260,Radiology,5961,Private,19,3.9
Hospital 2,City 2,State 2,15654,"519 Main St, City 2, State 2",Physical Exam,99386,General,16989,Medicare,10,3.1
Hospital 2,City 2,State 2,46619,"316 Main St, City 2, State 2",Knee Replacement,27447,Orthopedics,17777,Medicare,48,2.7
Hospital 2,City 2,State 2,12522,"274 Main St, City 2, State 2",Cardiac Stress Test,93015,Cardiology,1272,Uninsured,21,3.8
Hospital 2,City 2,State 2,23966,"705 Main St, City 2, State 2",Colonoscopy,45378,Gastroenterology,3241,Medicare,17,2.6
Hospital 2,City 2,State 2,95360,"636 Main St, City 2, State 2",Ultrasound,76801,Radiology,2040,Private,12,3.1
Hospital 3,City 3,State 3,85185,"840 Main St, City 3, State 3",MRI,70551,Radiology,2050,Uninsured,43,2.9
Hospital 3,City 3,State 3,56009,"579 Main St, City 3, State 3",X-Ray,71020,Radiology,11669,Medicare,43,3.8
Hospital 3,City 3,State 3,67522,"801 Main St, City 3, State 3",Blood Test,85025,Laboratory,6290,Medicare,33,5
Hospital 3,City 3,State 3,19667,"376 Main St, City 3, State 3",Appendectomy,44950,Surgery,2797,Medicare,35,3.3
Hospital 3,City 3,State 3,76760,"443 Main St, City 3, State 3",CT Scan,71260,Radiology,14580,Medicare,21,4.2
Hospital 3,City 3,State 3,81197,"327 Main St, City 3, State 3",Physical Exam,99386,General,7567,Uninsured,35,4.7
Hospital 3,City 3,State 3,37541,"880 Main St, City 3, State 3",Knee Replacement,27447,Orthopedics,14963,Private,24,3
Hospital 3,City 3,State 3,45623,"984 Main St, City 3, State 3",Cardiac Stress Test,93015,Cardiology,1287,Uninsured,5,3.2
Hospital 3,City 3,State 3,44306,"117 Main St, City 3, State 3",Colonoscopy,45378,Gastroenterology,5982,Uninsured,7,4
Hospital 3,City 3,State 3,44165,"417 Main St, City 3, State 3",Ultrasound,76801,Radiology,2238,Uninsured,43,2.7
Hospital 4,City 4,State 4,81265,"363 Main St, City 4, State 4",MRI,70551,Radiology,15271,Private,15,2.8
Hospital 4,City 4,State 4,86135,"927 Main St, City 4, State 4",X-Ray,71020,Radiology,2173,Private,32,3.2
Hospital 4,City 4,State 4,42461,"509 Main St, City 4, State 4",Blood Test,85025,Laboratory,17315,Medicare,52,2.9
Hospital 4,City 4,State 4,47956,"198 Main St, City 4, State 4",Appendectomy,44950,Surgery,15661,Uninsured,41,4.7
Hospital 4,City 4,State 4,49458,"791 Main St, City 4, State 4",CT Scan,71260,Radiology,16182,Medicare,56,3.5
Hospital 4,City 4,State 4,17895,"130 Main St, City 4, State 4",Physical Exam,99386,General,19684,Private,15,2.7
Hospital 4,City 4,State 4,25751,"795 Main St, City 4, State 4",Knee Replacement,27447,Orthopedics,3837,Medicare,32,4
Hospital 4,City 4,State 4,67407,"594 Main St, City 4, State 4",Cardiac Stress Test,93015,Cardiology,18643,Uninsured,47,3
